Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Deus Ex: Human Revolution,8/23/2011,Eidos Montreal,Square Enix,Action Adventure,Rated M For Mature,8.4,867
Always Sometimes Monsters,5/21/2014,Vagabond Dog,Devolver Digital,Adventure,,7.2,82
Monopoly Streets,10/26/2010,Electronic Arts,Electronic Arts,Board,Rated E For Everyone,6.6,16
forma.8,2/28/2017,MixedBag,MixedBag,Metroidvania,Rated E +10 For Everyone +10,5.4,40
Age of Empires II: HD Edition,4/9/2013,Hidden Path Entertainment,Hidden Path Entertainment,Command RTS,Rated T For Teen,8,694
Hired Guns: The Jagged Edge,10/19/2007,GFI Russia,Game Factory Interactive,Turn-Based Strategy,Rated T For Teen,6.5,6
WWE WrestleMania XIX,9/8/2003,Yuke's,THQ,Wrestling,Rated T For Teen,8.1,16
High Heat Major League Baseball 2002,3/28/2001,3DO,3DO,Baseball Sim,Rated E For Everyone,,
The Big Con,8/31/2021,Mighty Yell,Skybound Games,Adventure,,4.2,9
Hell Yeah! Pocket Inferno,2/21/2013,,,Action,,,
Star Wars Jedi: Fallen Order,11/15/2019,Respawn Entertainment,Electronic Arts,Action Adventure,Rated T For Teen,7.6,4642
Firewall Zero Hour,8/28/2018,First Contact Entertainment,Sony Interactive Entertainment,Tactical FPS,Rated T For Teen,8.3,294
Bomberman Blast,9/29/2008,Hudson,Hudson Soft,Action Puzzle,Rated E For Everyone,7.3,19
Kingdom Come: Deliverance - From The Ashes,7/5/2018,Warhorse Studios,Deep Silver,Action RPG,Rated M For Mature,5.7,33
Popeye: Rush for Spinach,4/24/2005,Magic Pockets,Namco,2D Platformer,Rated E For Everyone,5.5,
Borderlands 2,9/18/2012,Gearbox Software,2K Games,FPS,Rated M For Mature,8.3,1179
Power Rangers Super Megaforce,10/28/2014,7thChord,Bandai Namco Games,Action,Rated E +10 For Everyone +10,5.6,10
Ninety-Nine Nights,8/15/2006,Q Entertainment,Microsoft Game Studios,3D Beat-'Em-Up,Rated M For Mature,6.8,39
Ship Simulator 2006,8/21/2006,VSTEP,DreamCatcher Interactive,Marine Sim,Rated E For Everyone,,
Heroes of the Storm,6/2/2015,Blizzard Entertainment,Blizzard Entertainment,MOBA,Rated T For Teen,6.3,1609
Gran Turismo 2,12/23/1999,Polyphony Digital,SCEA,Auto Racing Sim,Rated E For Everyone,8.9,399
Alan Wake's American Nightmare,2/22/2012,Remedy Entertainment,Microsoft Game Studios,Linear Action Adventure,Rated T For Teen,7.6,216
Final Fantasy XVI: Echoes of the Fallen,12/7/2023,Creative Business Unit III,Square Enix,Action RPG,Rated M For Mature,6.5,40
Prison Break: The Conspiracy,4/1/2010,ZootFly,Deep Silver,Adventure,Rated T For Teen,4.9,18
Cloudbuilt,3/20/2014,Coilworks,Rising Star Games,Action,Rated E +10 For Everyone +10,7.6,37
Future Unfolding,3/15/2017,Spaces of Play,Spaces of Play,Open-World Action,,6.6,15
Critter Escape,8/16/2012,Kiz Studios,Chillingo,Adventure,,,
The Punisher,1/17/2005,Volition Inc.,THQ,Third Person Shooter,Rated M For Mature,8.3,27
AereA,6/30/2017,Triangle Studios,Soedesco,Action RPG,Rated E +10 For Everyone +10,4.5,16
Company of Heroes 3,2/23/2023,Relic Entertainment,Sega,Real-Time Strategy,Rated M For Mature,4.7,109
Heat Signature,9/21/2017,Tom Francis,Tom Francis,Action,,7.2,33
Monster Hunter Stories,9/8/2017,Capcom,Nintendo,JRPG,Rated E +10 For Everyone +10,8.2,113
Castlevania: Dawn of Sorrow,10/4/2005,Konami,Konami,Metroidvania,Rated T For Teen,8.5,201
The Crew,12/2/2014,Ivory Tower,Ubisoft,Auto Racing Sim,Rated T For Teen,5.4,690
The Warlock of Firetop Mountain,8/31/2016,Tin Man Games,Tin Man Games,Western RPG,,6.8,13
Kakuto Chojin,11/11/2002,DreamFactory,Microsoft Game Studios,3D Fighting,Rated T For Teen,5.8,
Naruto: Ultimate Ninja Heroes,8/28/2007,CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,6.1,18
The Room,10/18/2018,Fireproof Games,Team17,Adventure,Rated E For Everyone,8,26
Command & Conquer: Red Alert 3,10/28/2008,EA LA,Electronic Arts,Real-Time Strategy,Rated T For Teen,7,448
Ratchet & Clank Future: Quest for Booty,8/21/2008,Insomniac Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,7.4,223
Silent Hill 2: Director's Cut,12/2/2002,Creature Labs,Konami,Survival,Rated M For Mature,8.1,407
Smash Cops,1/18/2012,Hutch,Hutch,Racing,,,
I Am Dead,10/8/2020,Hollow Ponds and Richard Hogg,Annapurna Interactive,Adventure,Rated E +10 For Everyone +10,7.2,16
Evil Dead: Regeneration,9/13/2005,Cranky Pants Games,THQ,Survival,Rated M For Mature,6.7,6
Magus,2/25/2014,Black Tower Studios,Aksys Games,Action RPG,Rated T For Teen,4.3,25
Ashes of the Singularity,10/22/2015,Oxide Games,Stardock,Command RTS,,6.8,91
80 Days (2005),12/12/2005,Frogwares,Matrix Games,Third-Person Adventure,Rated T For Teen,7.8,15
Warface,10/21/2013,Crytek,Crytek,FPS,Rated T For Teen,4.2,564
Air Conflicts: Vietnam,10/2/2013,bitComposer,Kalypso,Aircraft Combat Sim,Rated T For Teen,3.1,29
Zone of the Enders: The 2nd Runner,3/10/2003,KCEJ,Konami,Vehicle Combat Sim,Rated M For Mature,8.5,78
Teenage Mutant Ninja Turtles: Shredder's Revenge - Dimension Shellshock,8/31/2023,Tribute Games,DotEmu,2D Beat-'Em-Up,,8,30
Dr. Luigi,12/31/2013,Arika,Nintendo,Stacking Puzzle,Rated E For Everyone,7.3,69
Frogger's Adventures: The Rescue,10/29/2003,Konami,Konami,3D Platformer,Rated E For Everyone,,
The Simpsons: Tapped Out,3/1/2012,Electronic Arts,Electronic Arts,Management,,6.5,59
Metal Slug Advance,12/2/2004,Noise Factory,SNK Playmore,Vertical Shoot-'Em-Up,Rated T For Teen,8.3,15
Hearthstone: Heroes of Warcraft - The Grand Tournament,8/24/2015,Blizzard Entertainment,Blizzard Entertainment,Card Battle,,4,146
NBA Ballers,4/5/2004,Midway,Midway,Basketball,Rated E For Everyone,7.2,9
War of the Monsters,1/14/2003,Incognito Inc.,SCEA,3D Fighting,Rated T For Teen,8.3,39
Ultimate Muscle: Legends vs New Generation,6/5/2003,Aki Corp.,Bandai,Wrestling,Rated T For Teen,,
Glory of the Roman Empire,7/3/2006,Haemimont Games,cdv Software,Management,Rated E +10 For Everyone +10,7.1,7
For the King,4/19/2018,IronOak Games,Curve Digital,Roguelike,Rated T For Teen,6.9,107
Signalis,10/27/2022,rose-engine,Humble Games,Survival,Rated M For Mature,8.3,170
Moto Racer Advance,12/5/2002,Adeline Software,Ubisoft,Auto Racing,Rated E For Everyone,,
ORC: Vengeance,7/26/2012,Big Cave Games,Chillingo,Action RPG,,,
Immortal Planet,7/27/2017,teedoubleuGAMES,teedoubleuGAMES,Action RPG,,6,8
Feeding Frenzy,3/10/2006,Sprout Games,Oberon Media,Puzzle,Rated E For Everyone,6.6,17
Asphalt: Urban GT,11/17/2004,Gameloft,Gameloft,Auto Racing,Rated E For Everyone,7.5,15
Gabrielle's Ghostly Groove 3D,10/4/2011,Santa Entertainment,Natsume,Rhythm,Rated E For Everyone,7.4,9
Dragon Ball: Fusions,11/22/2016,Ganbarion,Bandai Namco Games,Trainer RPG,Rated T For Teen,8,73
Islets,8/24/2022,Kyle Thompson,Armor Games,Metroidvania,Rated E +10 For Everyone +10,8.1,11
Monster Hunter Stories 2: Wings of Ruin,7/9/2021,Capcom,Capcom,JRPG,Rated E +10 For Everyone +10,6.3,230
Shooting Stars!,1/19/2016,Bloodirony,Daedalic Entertainment,Action,,7,12
Star Ocean: The Divine Force,10/27/2022,Tri-Ace,Square Enix,Action RPG,Rated T For Teen,6.5,174
Airborne Kingdom,12/17/2020,The Wandering Band LLC,The Wandering Band LLC,Management,,7.2,34
Shu,1/23/2018,Coatsink Software,Coatsink Software,2D Platformer,Rated E For Everyone,6.8,18
Stoked,2/26/2009,Bongfish,Destineer,Skiing,Rated T For Teen,6.6,5
As Far As The Eye,9/10/2020,Unexpected,Unexpected,Management,,7.3,13
Project Eden,10/22/2001,Core Design Ltd.,Eidos Interactive,Action Adventure,Rated T For Teen,8.8,5
Earthcore: Shattered Elements - Epic Card Battle Game (TCG),5/20/2015,Tequila Games Sp. z o.o.,Tequila Games Sp. z o.o.,Action,,6.9,15
How to Survive,8/29/2014,EKO Software,505 Games,Survival,,7,307
NBA Street Homecourt,2/20/2007,EA Canada,EA Sports Big,Basketball,Rated E For Everyone,6.7,16
Catch The Candy,5/12/2011,Bulkypix,Bulkypix,Edutainment,,,
Galaxy Warfighter,4/16/2020,Qplaze,JoyBits,Horizontal Shoot-'Em-Up,Rated E For Everyone,,
MotoGP 10/11,3/15/2011,Monumental Games,Capcom,Auto Racing Sim,Rated E For Everyone,6.9,24
Backyard Wrestling: Don't Try This at Home,10/7/2003,Paradox Development,Eidos Interactive,Wrestling,Rated M For Mature,5.1,9
Art Style: ORBIENT,9/29/2008,Nintendo,Nintendo,Puzzle,Rated E For Everyone,,
Joe Dever's Lone Wolf HD Remastered,11/27/2014,Forge Reply,505 Games,Action,,6.8,25
Stronghold: Crusader Extreme,6/2/2008,FireFly Studios,Gamecock Media Group,Compilation,Rated T For Teen,6.2,58
Law & Order: Dead on the Money,9/24/2002,Legacy Interactive,Legacy Interactive,First-Person Adventure,Rated T For Teen,5.9,9
Batman: Dark Tomorrow,3/18/2003,Kemco,Kemco,Linear Action Adventure,Rated T For Teen,3.1,15
"Warhammer 40,000: Darktide",11/30/2022,Fatshark,Fatshark,FPS,Rated M For Mature,5,162
13 Sentinels: Aegis Rim,9/22/2020,Vanillaware,Sega,Adventure,Rated T For Teen,9,417
Bladeslinger,11/21/2012,Kerosene,Kerosene,Adventure,,,
Airborne Assault: Highway to the Reich,12/10/2003,Panther Games,Matrix Games,Real-Time Strategy,,5.6,5
Metal Gear Acid,3/22/2005,Konami,Konami,Card Battle,Rated M For Mature,7.7,39
Tengami,2/19/2014,Nyamyam,Nyamyam,Adventure,,6.6,14
Voodoo Dice,5/26/2010,Exkee,Ubisoft,Puzzle,Rated E For Everyone,,
Mega Jump 2,1/15/2014,,,Action,,,
Kapital: Sparks of Revolution,4/28/2022,Lapovich,1C Entertainment,Management,,,
Dragoneer's Aria,8/21/2007,Hit Maker,NIS America,JRPG,Rated E +10 For Everyone +10,6.4,5
Sonic Boom: Rise of Lyric,11/11/2014,Big Red Button Entertainment,Sega,3D Platformer,Rated E +10 For Everyone +10,3.7,721
NCAA March Madness 2005,11/17/2004,EA Canada,EA Sports,Basketball Sim,Rated E For Everyone,,
Madden NFL 12,8/30/2011,EA Tiburon,EA Sports,Football Sim,Rated E For Everyone,6.2,109
The World Next Door,3/27/2019,Rose City Games,VIZ Media,Action Adventure,Rated T For Teen,5.8,11
Pikmin 3 Deluxe,10/30/2020,Eighting,Nintendo,Real-Time Strategy,Rated E +10 For Everyone +10,8.6,262
Lost Ark,2/11/2022,Smilegate,Amazon Game Studios,MMORPG,Rated M For Mature,5.2,627
King's Quest Chapter 5: The Good Knight,10/25/2016,The Odd Gentlemen,Sierra Games,Adventure,Rated E +10 For Everyone +10,5.8,18
Jet Car Stunts 2,1/2/2014,True Axis,True Axis,Auto Racing,,,
Dishonored 2,11/10/2016,Arkane Studios,Bethesda Softworks,Action Adventure,Rated M For Mature,8.5,2092
Empire of Sin,12/1/2020,Romero Games Ltd.,Paradox Interactive,Turn-Based Tactics,Rated M For Mature,5.9,141
Tearaway Unfolded,9/8/2015,Media Molecule,SCEA,3D Platformer,Rated E For Everyone,7.9,328
The Tiny Bang Story,4/22/2011,Colibri Games,Colibri Games,Point-and-Click,,7,74
The Baconing,8/31/2011,Hothead Games,Valcon Games,Action RPG,Rated T For Teen,5.4,8
Shining Tears,3/22/2005,Nex Entertainment,Sega,Action RPG,Rated T For Teen,8.2,6
Adrenalin Misfits,11/4/2010,Konami,Konami,Skiing,Rated E For Everyone,8.3,
Just Dance,11/17/2009,Ubisoft Paris,Ubisoft,Dancing,Rated E +10 For Everyone +10,6.2,30
Dreamfall Chapters Book Two: Rebels,3/12/2015,Red Thread Games,Red Thread Games,Third-Person Adventure,,7.8,75
Legend of Dungeon,9/13/2013,Robot Loves Kitty,Robot Loves Kitty,2D Beat-'Em-Up,,7.4,56
Manchester United Soccer 2005,10/28/2004,Codemasters,Codemasters,Soccer Sim,Rated E For Everyone,3.2,5
Port Royale,6/4/2003,Ascaron Entertainment,Tri Synergy,Real-Time Strategy,Rated E For Everyone,7,20
No Escape (2000),11/30/2000,Funcom,Funcom,Action,Rated T For Teen,,
Firewatch,2/9/2016,Campo Santo,Panic Inc.,First-Person Adventure,,7.2,1607
Magna Carta 2,10/13/2009,SoftMax,Namco Bandai Games,Action RPG,Rated T For Teen,6.4,37
Dungelot: Shattered Lands,2/18/2016,Red Winter Software,tinyBuild,Turn-Based Tactics,,6.9,10
Jewel Master: Egypt,11/3/2009,Cerasus Media,Storm City Games,Matching Puzzle,Rated E For Everyone,,
Lumines Supernova,12/23/2008,Q Entertainment,Q Entertainment,Matching Puzzle,Rated E For Everyone,7.8,
Genji: Dawn of the Samurai,9/20/2005,Game Republic,SCEA,Action Adventure,Rated M For Mature,8.9,29
FIFA Street 2,2/28/2006,EA Canada,EA Sports Big,Soccer,Rated E For Everyone,7.6,8
Ignite (2011),10/28/2011,Nemesys,Just A Game,Auto Racing,,6.2,26
Defenders of Ardania,3/14/2012,Most Wanted Entertainment,Paradox Interactive,Defense,Rated T For Teen,7.7,7
The Company Man,1/21/2022,Forust,Leoful,2D Platformer,Rated E +10 For Everyone +10,,
Portal Runner,9/10/2001,3DO,3DO,3D Platformer,Rated E For Everyone,,
Golf Story,9/28/2017,SideBar Games,SideBar Games,Action Adventure,Rated E For Everyone,8.2,345
Super Monday Night Combat,4/19/2012,Uber Entertainment,Uber Entertainment,MOBA,,3.7,212
Asterix & Obelix: Slap Them All!,12/2/2021,Mr.  Nutz Studio,Microids,2D Beat-'Em-Up,Rated E +10 For Everyone +10,6.4,20
Dungeons of Dredmor,7/13/2011,Gaslamp Games,Gaslamp Games,Roguelike,,7.6,219
SpongeBob Squigglepants,4/12/2011,WayForward,THQ,Miscellaneous,Rated E For Everyone,7.5,8
King's Bounty: Crossworlds,9/17/2010,Katauri Interactive,1C Entertainment,Turn-Based Strategy,Rated T For Teen,8.4,131
Crystar,8/27/2019,Gemdrops,Spike Chunsoft,Action RPG,Rated T For Teen,9.5,2256
Lair of the Clockwork God,2/21/2020,Size Five Games,Size Five Games,Adventure,Rated T For Teen,8.4,28
Boktai: The Sun Is in Your Hand,9/16/2003,KCEJ,Konami,Action Adventure,Rated E For Everyone,6.8,16
Odama,4/10/2006,Vivarium,Nintendo,Pinball,Rated E +10 For Everyone +10,6.2,5
Code Lyoko,5/15/2007,DC Studios,The Game Factory,Action RPG,Rated E +10 For Everyone +10,7.3,7
Like a Dragon: Infinite Wealth,1/26/2024,Ryu ga Gotoku Studios,Sega,JRPG,Rated M For Mature,8.4,202
Enclave,7/29/2002,Starbreeze,Conspiracy Entertainment,Action Adventure,Rated M For Mature,7.3,7
NeverEnd (2006),10/2/2006,Mayhem Studios,DreamCatcher Interactive,JRPG,Rated T For Teen,3.4,5
Paper Mario: Color Splash,10/7/2016,Intelligent Systems,Nintendo,JRPG,Rated E For Everyone,7.1,484
EVERSPACE 2,4/6/2023,ROCKFISH Games,ROCKFISH Games,Space Combat Sim,,7.9,72
Rush Bros,1/29/2013,XYLA Entertainment,XYLA Entertainment,2D Platformer,,4.9,29
Comanche 4,11/12/2001,NovaLogic,NovaLogic,Aircraft Combat Sim,Rated T For Teen,7.9,21
Disney's Tarzan Untamed,11/17/2001,Ubisoft Montreal,Ubisoft,Action Adventure,Rated E For Everyone,7.4,5
Let's Golf 2,7/22/2010,Gameloft,Gameloft,Golf Sim,,6.2,6
Sherlock Holmes: The Devil's Daughter,10/25/2016,Frogwares,Bigben Interactive,Third-Person Adventure,Rated T For Teen,6.9,198
Total Immersion Racing,11/20/2002,Razorworks,Empire Interactive,Auto Racing Sim,Rated E For Everyone,7.8,5
ESPN X Games Skateboarding,8/13/2001,KCEO,Konami,Skating,Rated E For Everyone,,
Zeit Squared,1/12/2011,Brightside Games,Ubisoft,Vertical Shoot-'Em-Up,Rated E For Everyone,5.8,
Snoopy Flying Ace,6/2/2010,Smart Bomb Interactive,Microsoft Game Studios,Aircraft Combat Sim,Rated E +10 For Everyone +10,7.9,11
Blue Fire,2/4/2021,Robi Studios,Graffiti Games,3D Platformer,Rated E +10 For Everyone +10,7.5,58
Luigi's Mansion,10/12/2018,GREZZO,Nintendo,Action Adventure,Rated E For Everyone,8.1,128
Plants vs. Zombies Heroes,10/18/2016,PopCap,Electronic Arts,Card Battle,,5.9,52
Mutant Storm Reloaded,11/22/2005,PomPom Games,PomPom Games,Top-Down Shoot-'Em-Up,Rated E For Everyone,6,6
SpellForce III Reforced,6/7/2022,Grimlore Games,THQ Nordic,Real-Time Tactics,Rated M For Mature,7.2,10
HarmoKnight,3/28/2013,Game Freak,Nintendo,Rhythm,Rated E For Everyone,7.4,48
Dynasty Warriors: Strikeforce,4/28/2009,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,7.4,12
Cycle 28,8/2/2018,Pill Bug Interactive,Pill Bug Interactive,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,,
Flashback: 25th Anniversary,6/17/2018,Paul Cuisset,Microids,2D Platformer,Rated E +10 For Everyone +10,7.9,28
"Casino, Inc.",3/26/2003,Hothouse Creations,Konami,Tycoon,Rated M For Mature,,
Attack of the Friday Monsters! A Tokyo Tale,7/18/2013,Millennium Kitchen,Level 5,Adventure,Rated E For Everyone,7.5,58
Madden NFL 22,8/17/2021,EA Tiburon,Electronic Arts,Football Sim,Rated E For Everyone,0.7,534
The Elder Scrolls Online: Summerset,5/21/2018,ZeniMax Media,Bethesda Softworks,MMORPG,Rated M For Mature,6.1,141
NHL 14,9/10/2013,Electronic Arts,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,6.1,101
Project CARS 3,8/25/2020,Slightly Mad Studios,Bandai Namco Games,Auto Racing Sim,,3.9,119
Army Men: Air Attack 2,3/27/2001,3DO,3DO,Aircraft Combat Sim,Rated T For Teen,8.8,10
Bomberman Act: Zero,8/29/2006,Hudson,Konami,Action Puzzle,Rated T For Teen,2.4,22
Crookz: The Big Heist,8/25/2015,Skilltree Studios,Kalypso,Turn-Based Strategy,Rated T For Teen,7.1,18
Hollow (2017),2/22/2018,MMEU,Forever Entertainment,Survival,Rated M For Mature,4.4,63
Antipole (2011),7/21/2011,Saturnine Games,Saturnine Games,2D Platformer,Rated E For Everyone,,
NFL Street,1/13/2004,EA Tiburon,EA Sports,Football,Rated E For Everyone,7,9
The Eternal Castle Remastered,1/5/2019,Leonard Menchiari,Playsaurus,Adventure,,6.8,19
Elite Warriors: Vietnam,3/25/2005,Nfusion,Bold Games,Third Person Shooter,Rated T For Teen,,
Bloody Roar: Primal Fury,3/28/2002,Eighting,Activision,3D Fighting,Rated T For Teen,8.1,17
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,9/10/2020,Gearbox Software,2K Games,FPS,Rated M For Mature,4.6,21
Shantae,4/22/2021,WayForward,WayForward,2D Platformer,Rated E +10 For Everyone +10,7.6,17
Buzz Aldrin's Space Program Manager,10/31/2014,Polar Motion,Slitherine,Turn-Based Strategy,,6.4,15
Batman: Arkham Asylum,8/25/2009,Rocksteady Studios,Eidos Interactive,Action Adventure,Rated T For Teen,8.8,1530
Drill Dozer,2/6/2006,Game Freak,Nintendo,2D Platformer,Rated E For Everyone,8.4,18
Teslagrad,12/13/2013,Rain Games,Rain Games,2D Platformer,Rated E For Everyone,7.8,120
The Quiet Man,11/1/2018,Human Head Studios,Square Enix,Linear Action Adventure,Rated M For Mature,1.8,167
Grand Theft Auto Double Pack,11/4/2003,Rockstar Vienna,Rockstar Games,Compilation,Rated M For Mature,7.8,80
MLB SlugFest 2006,6/5/2006,Blue Shift,Midway,Baseball,Rated E +10 For Everyone +10,,
Assassin's Creed Origins: The Hidden Ones,1/23/2018,Ubisoft Montreal,Ubisoft,Open-World Action,Rated M For Mature,6.8,134
Kine,10/17/2019,Gwen Frey,Chump Squad,Action Puzzle,Rated E For Everyone,,
Thief of Thieves: Season One,11/12/2019,Rival Games Ltd,Skybound Games,Adventure,Rated M For Mature,,
Overcooked! 2,8/7/2018,Ghost Town Games Ltd.,Team17,Arcade,Rated E For Everyone,7.9,158
Ninja Gaiden II,6/3/2008,Team Ninja,Tecmo,Action Adventure,Rated M For Mature,8.1,189
Pac-Man Fever,9/2/2002,Mass Media,Namco,Party,Rated E For Everyone,5.2,5
Zubo,3/10/2009,EA Bright Light,Electronic Arts,Rhythm,Rated E +10 For Everyone +10,,
LittleBigPlanet PS Vita,9/18/2012,Tarsier Studios,SCEA,3D Platformer,Rated E For Everyone,8.5,406
Generation Zero,3/26/2019,Avalanche Studios,THQ Nordic,Open-World Action,Rated T For Teen,5.7,165
Railroad Tycoon II: Gold Edition,6/30/2000,Tremor Entertainment,Gathering,Tycoon,,7.4,10
Guitar Hero Encore: Rocks the 80s,7/24/2007,Harmonix Music Systems,Activision,Rhythm,Rated T For Teen,7,23
Naval Ops: Commander,3/9/2004,Micro Cabin,Koei,Marine Combat Sim,Rated T For Teen,,
Shadow Gambit: The Cursed Crew,8/17/2023,Mimimi Games,Mimimi Games,Real-Time Tactics,,7.5,53
MotoGP,5/19/2002,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,,
ASTLIBRA Revision,11/16/2023,KEIZO,WhisperGames,Action RPG,Rated M For Mature,,
River King: A Wonderful Journey,3/28/2006,Marvelous Entertainment,Natsume,Fishing,Rated E For Everyone,,
Sonic Rivals 2,11/13/2007,Backbone Entertainment,Sega,Arcade Racing,Rated E For Everyone,7.7,52
Magnetic Billiards: Blueprint,7/16/2011,Zee 3 Limited,Zee 3 Limited,Puzzle,,,
Overlord Minions,6/23/2009,Climax Studios,Codemasters,Action Puzzle,Rated E +10 For Everyone +10,,
Body and Brain Connection,2/8/2011,Namco Bandai Games,Namco Bandai Games,Logic Puzzle,Rated E For Everyone,4,5
Unto The End,12/9/2020,2 Ton Studios,Big Sugar,Action Adventure,,5,12
Moon Project,3/11/2001,TopWare Interactive,Game Studios,Command RTS,Rated T For Teen,7.2,25
Old Gods Rising,5/20/2020,Bad Blood Studios,Bad Blood Studios,First-Person Adventure,,,
Story of Seasons: Friends of Mineral Town,7/14/2020,Marvelous Inc.,XSEED Games,Tycoon,Rated E +10 For Everyone +10,8.1,76
WWF No Mercy,11/17/2000,Aki Corp.,THQ,Wrestling,Rated T For Teen,8.1,79
Stray Blade,4/20/2023,Point Blank Games,505 Games,Action RPG,,6.7,29
Samurai Sword Destiny,1/5/2012,UFO Interactive,UFO Interactive,Action Adventure,Rated T For Teen,,
Mini Motor Racing,12/8/2011,The Binary Mill,The Binary Mill,Auto Racing,,6.7,6
RPM: Gymkhana Racing,11/17/2011,Bulkypix,Bulkypix,Auto Racing,,,
Stronghold: Definitive Edition,11/7/2023,FireFly Studios,FireFly Studios,Real-Time Strategy,,8.6,9
Rogue Stormers,10/15/2015,Black Forest Games,Black Forest Games,2D Platformer,Rated T For Teen,7.2,21
Labyrinth of Galleria: The Moon Society,2/14/2023,Nippon Ichi Software,NIS America,JRPG,Rated M For Mature,8.4,7
Etrian Odyssey IV: Legends of the Titan,2/26/2013,Atlus,Atlus,Western RPG,Rated T For Teen,8.3,178
Gauntlet (1985),11/22/2005,Digital Eclipse,Midway,Top-Down Shoot-'Em-Up,Rated E For Everyone,6.3,6
Tom Clancy's Rainbow Six 3,11/12/2003,Ubisoft,Ubisoft,Tactical FPS,Rated M For Mature,7.7,15
101-in-1 Explosive Megamix,4/21/2009,Nordcurrent,Atlus,Party,Rated E For Everyone,,
Just Dance 2018,10/24/2017,Ubisoft Paris,Ubisoft,Dancing,Rated E +10 For Everyone +10,5.6,42
Dynasty Warriors (PSP),3/16/2005,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,5.6,10
Ken Follett's The Pillars of the Earth,8/15/2017,Daedalic Entertainment,Daedalic Entertainment,Visual Novel,Rated M For Mature,8.1,96
From Russia With Love,11/1/2005,EA Redwood Shores,Electronic Arts,Third Person Shooter,Rated T For Teen,7.1,11
Discs of Tron,2/13/2008,Backbone Charlottetown,Disney Interactive Studios,Arcade,Rated E For Everyone,,
Jolly Rover,6/7/2010,Brawsome,Brawsome,Point-and-Click,Rated E +10 For Everyone +10,7.4,28
King's Field: The Ancient City,3/25/2002,From Software,Agetec,Western RPG,Rated T For Teen,8.4,29
SteamWorld Dig 2,9/21/2017,Image & Form,Image & Form,Metroidvania,Rated E +10 For Everyone +10,8.5,391
"Crouching Tiger, Hidden Dragon",10/9/2003,Genki,Ubisoft,3D Beat-'Em-Up,Rated T For Teen,,
The Pinball HD,4/22/2010,OOO Gameprom,OOO Gameprom,Pinball,,,
Inazuma Eleven Strikers,7/16/2011,Level 5,Level 5,Soccer,,8.2,31
The Legend of Heroes: Trails from Zero,9/27/2022,Falcom,NIS America,JRPG,Rated T For Teen,7.5,28
Labyrinth 2 (2009),12/1/2009,Illusion Labs,Illusion Labs,Action,,6.8,5
Nex Machina: Death Machine,6/20/2017,Housemarque,Sony Interactive Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,8,165
Killer Is Dead,8/27/2013,Grasshopper Manufacture,XSEED Games,Action Adventure,Rated M For Mature,7.8,239
NASCAR SimRacing,8/31/2004,EA Tiburon,EA Games,Auto Racing Sim,Rated E For Everyone,8.3,12
Smash Cars,8/13/2003,Creat Studios,Metro3D,Vehicle Combat Sim,Rated E For Everyone,,
Akai Katana,5/15/2012,Cave,Rising Star Games,Vertical Shoot-'Em-Up,Rated T For Teen,8.2,30
Cy Girls,3/23/2004,KCEJ,Konami,Action Adventure,Rated M For Mature,,
PlayStation Move Ape Escape,7/5/2011,SCE Japan Studio,SCEA,Party,Rated E +10 For Everyone +10,4.4,23
NCAA College Football 2K2: Road to the Rose Bowl,8/29/2001,Visual Concepts,Sega,Football Sim,Rated E For Everyone,,
The Book of Unwritten Tales,10/28/2011,KING Art,The Adventure Company,Adventure,Rated T For Teen,8.3,164
Payday 2,8/13/2013,Overkill Software,505 Games,FPS,Rated M For Mature,4,4041
Rad Rodgers,2/21/2018,THQ Nordic,THQ Nordic,2D Platformer,Rated M For Mature,5.8,16
99Vidas,7/18/2017,QUByte Interactive,QUByte Interactive,2D Beat-'Em-Up,Rated T For Teen,6.4,43
Fire Emblem Fates: Birthright,2/19/2016,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated T For Teen,7.8,539
Soltrio Solitaire,5/16/2007,Silver Creek Entertainment,Silver Creek Entertainment,Board,Rated E For Everyone,,
A Short Hike,8/18/2020,adamgryu,Whippoorwill Limited,Adventure,Rated E For Everyone,8.6,253
Laserlife,9/22/2015,Choice Provisions,Choice Provisions,Rail Shooter,Rated E For Everyone,,
Bladed Fury,12/17/2018,NExT Studios,NExT Studios,2D Beat-'Em-Up,,8,16
Digimon Story Cyber Sleuth,2/2/2016,Media.Vision,Bandai Namco Games,Trainer RPG,Rated T For Teen,8.1,444
The Wolf Among Us: Episode 3 - A Crooked Mile,4/8/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8.2,322
Aarklash: Legacy,9/12/2013,Cyanide,Cyanide,Real-Time Tactics,,7.7,112
