title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Midnight Club 3: DUB Edition,2005-04-11,Rockstar San Diego,Rockstar Games,Auto Racing Sim,Rated E +10 For Everyone +10,9.2,17,243
Dustoff Z,2020-10-15,Invictus,Zordix,Horizontal Shoot-'Em-Up,Rated T For Teen,,,244
Q*bert: Rebooted,2015-02-17,LOOT Entertainment,LOOT Entertainment,Arcade,Rated E For Everyone,4.7,30,245
The Legend of Spyro: The Eternal Night,2007-10-02,Krome Studios,Sierra Entertainment,3D Platformer,Rated E +10 For Everyone +10,6.1,61,246
NieR: Automata - Game of the YoRHa Edition,2019-02-26,PlatinumGames,Square Enix,Action RPG,Rated M For Mature,8.9,876,247
The Suicide of Rachel Foster,2020-02-19,ONEOONE GAMES,Daedalic Entertainment,First-Person Adventure,,7,95,248
N++,2015-07-28,Metanet Software Inc.,Metanet Software Inc.,2D Platformer,Rated E +10 For Everyone +10,6.7,69,249
La-Mulana,2015-03-03,Pygmy Studio,Rising Star Games,Metroidvania,Rated T For Teen,7.8,28,250
Naughty Bear,2010-06-25,Artificial Mind and Movement,505 Games,Action,Rated T For Teen,4.9,39,251
Detached,2018-07-24,Anshar Studios,Anshar Studios,Space Combat Sim,Rated T For Teen,,,252
"Honey, I Joined a Cult",2022-11-03,Sole Survivor Games,Team17,Tycoon,,6,,253
Disney/Pixar Cars 2,2011-06-21,Avalanche Software,Disney Interactive Studios,Auto Racing,Rated E +10 For Everyone +10,7.6,38,254
Dillon's Rolling Western: The Last Ranger,2013-04-11,Vanpool,Nintendo,Action,Rated E +10 For Everyone +10,7,21,255
Skylanders Battlecast,2016-05-23,Activision,Activision,Board,,,,256
Wanted: Dead,2023-02-14,Soleil Ltd.,110 Industries,Action Adventure,,5.6,68,257
Honeycomb Beat,2007-04-02,Hudson,Hudson,Puzzle,Rated E For Everyone,,,258
Memento Mori,2009-07-29,Centauri Production,Got Game Entertainment,First-Person Adventure,Rated M For Mature,7.6,37,259
Aqua Kitty UDX,2018-02-15,Tikipod Limited,Tikipod Limited,Horizontal Shoot-'Em-Up,Rated E For Everyone,8,14,260
Dark Messiah of Might and Magic,2006-10-24,Arkane Studios,Ubisoft,FPS,Rated M For Mature,8.6,505,261
Speed Kings,2003-06-03,Climax Studios,Acclaim,Auto Racing Sim,Rated E For Everyone,,,262
ScreamRide,2015-03-03,Frontier Developments,Microsoft Game Studios,Simulation,Rated E +10 For Everyone +10,4.8,227,263
The Great Jitters: Pudding Panic,2011-06-07,KUNST-STOFF,KUNST-STOFF,Action Puzzle,,5.8,8,264
Windbound,2020-08-28,5 Lives Studios,5 Lives Studios,Survival,,5.2,19,265
Fantasy Zone,2020-01-23,M2,Sega,Horizontal Shoot-'Em-Up,Rated E For Everyone,8.2,12,266
Dear Esther: Landmark Edition,2016-09-20,The Chinese Room,Curve Digital,First-Person Adventure,Rated T For Teen,6.1,66,267
The Incredible Hulk (2008),2008-06-05,Edge of Reality,Sega,Open-World Action,Rated T For Teen,6.5,19,268
Gretzky NHL 2005,2004-11-09,Page 44 Studios,SCEA,Hockey Sim,Rated E For Everyone,,,269
Valhalla Knights 2,2008-10-01,K2,XSEED Games,Action RPG,Rated E +10 For Everyone +10,5.3,8,270
No Heroes Allowed!,2010-11-01,Acquire,SCEA,Strategy,Rated E +10 For Everyone +10,7.7,19,271
Driver '76,2007-05-08,Sumo Digital,Ubisoft,Auto Racing,Rated M For Mature,7.1,29,272
Tecmo Classic Arcade,2005-09-14,Tecmo,Tecmo,Compilation,Rated E For Everyone,,,273
Berserk and the Band of the Hawk,2017-02-21,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,,7.5,119,274
The Masterplan,2015-06-04,Shark Punch,Shark Punch,Strategy,,7.3,24,275
Left 4 Dead 2,2009-11-17,Valve Software,Electronic Arts,Tactical FPS,Rated M For Mature,8.2,598,276
#IDARB,2015-01-30,Other Ocean Interactive,Other Ocean Interactive,Party,Rated E For Everyone,6.9,91,277
Enter the Matrix,2003-05-14,Shiny Entertainment,Infogrames,Linear Action Adventure,Rated T For Teen,8.2,14,278
JoJo's Bizarre Adventure: All-Star Battle R,2022-09-02,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.7,37,279
de Blob 2,2011-02-22,Blue Tongue Entertainment,THQ,3D Platformer,Rated E +10 For Everyone +10,7.3,28,280
Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,Ubisoft Paris,Ubisoft,Tactical FPS,Rated T For Teen,7.5,112,281
Pokemon Mystery Dungeon: Red Rescue Team,2006-09-18,ChunSoft,Nintendo,Roguelike,Rated E For Everyone,8,163,282
Deracine,2018-11-06,From Software,Sony Interactive Entertainment,Adventure,Rated T For Teen,7.7,88,283
The Whispered World,2010-04-26,Daedalic Entertainment,Viva Media,Point-and-Click,Rated E For Everyone,7.2,91,284
NFL GameDay 2003,2002-08-12,989 Sports,SCEA,Football Sim,Rated E For Everyone,,,285
We Are OFK,2022-08-18,Team OFK,Team OFK,Adventure,Rated M For Mature,3.3,15,286
Metal Gear Acid 2,2006-03-21,Kojima Productions,Konami,Card Battle,Rated M For Mature,8.1,30,287
March of the Penguins,2006-11-27,Skyworks Technologies,DSI Games,Action Puzzle,Rated E For Everyone,2,5,288
Chime Super Deluxe,2011-03-29,Zoe Mode,Zoe Mode,Stacking Puzzle,Rated E For Everyone,8,16,289
"Hey You, Pikachu!",2000-11-06,Ambrella,Nintendo,Virtual Pet,Rated E For Everyone,5.5,28,290
PGA Tour 2K23,2022-10-11,Take-Two Interactive,2K Games,Golf Sim,Rated E For Everyone,4.4,28,291
Street Fighter X Mega Man,2012-12-17,Capcom,Capcom,2D Platformer,,7.8,61,292
X3: Reunion,2005-11-10,Egosoft,Enlight Software,Space Combat Sim,Rated T For Teen,7.3,57,293
A Way Out,2018-03-23,Hazelight,Electronic Arts,Linear Action Adventure,Rated M For Mature,7.9,1118,294
Pool Paradise,2004-06-28,Awesome Developments,Ignition Entertainment,Billiards,Rated E For Everyone,,,295
Reckless Racing,2010-10-21,Electronic Arts,Electronic Arts,Auto Racing Sim,,,,296
Kirby Star Allies,2018-03-16,HAL Labs,Nintendo,2D Platformer,Rated E +10 For Everyone +10,7.4,580,297
Peggle,2009-03-11,PopCap,PopCap,Action Puzzle,Rated E For Everyone,7.5,84,298
Microsoft Flight Simulator X,2006-10-17,Microsoft Game Studios,Microsoft Game Studios,Aircraft Sim,Rated E For Everyone,7.4,117,299
Star Wars Battlefront: Elite Squadron,2009-11-03,Savage Entertainment,LucasArts,Third Person Shooter,Rated T For Teen,7.8,55,300
Shinobi (2011),2011-11-15,Griptonite Games,Sega,2D Platformer,Rated T For Teen,7.3,38,301
Shadow of Rome,2005-02-08,Capcom,Capcom,Action Adventure,Rated M For Mature,8.8,77,302
Ice Age: Scrat's Nutty Adventure,2019-10-18,Blue Sky Studios,Outright Games,Action Adventure,Rated E For Everyone,5.1,23,303
Asterix & Obelix XXL 3: The Crystal Menhir,2021-01-26,OSome Studio,Microids,Linear Action Adventure,Rated E +10 For Everyone +10,5.1,17,304
Rise of the Triad,2013-07-31,Interceptor,Apogee Games,FPS,Rated M For Mature,6.6,238,305
Genesis Noir,2021-03-26,Feral Cat Den,Fellow Traveller,Point-and-Click,,6.1,37,306
Apocalipsis: Harry at the End of the World,2018-02-28,Punch Punk Games,Klabater,Point-and-Click,,6.8,11,307
Tesla Effect: A Tex Murphy Adventure,2014-05-07,Big Finish Games,Atlus,Adventure,,8.5,182,308
SpellForce 3: Soul Harvest,2019-05-28,Grimlore Games,THQ Nordic,Real-Time Tactics,,8.5,51,309
Afterfall: InSanity,2011-11-25,Nicolas Intoxicate,Nicolas Intoxicate,Survival,,5.8,152,310
Fish Out of Water,2013-04-18,Halfbrick Studios,Halfbrick Studios,Action,,,,311
Arslan: The Warriors of Legend,2016-02-09,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,Rated T For Teen,7,41,312
Castle Crashers Remastered,2015-09-09,The Behemoth,The Behemoth,2D Beat-'Em-Up,Rated T For Teen,8.2,83,313
Bob Help Them,2021-03-11,No Gravity Games,No Gravity Games,Virtual Life,,,,314
Gears of War 2: All Fronts Collection,2009-07-28,Epic Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,8.9,12,315
Worldwide Soccer Manager 2005,2004-12-07,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,5.2,9,316
Noby Noby Boy,2009-02-19,Bandai Namco Games,Bandai Namco Games,Action,Rated E For Everyone,6.3,15,317
Forever Worlds - Enter the Unknown,2004-04-05,Hexagon Entertainment,The Adventure Company,First-Person Adventure,Rated E For Everyone,5.2,5,318
Insecticide: Episode 1,2008-03-11,Creat Studios,Gamecock Media Group,Action Adventure,Rated E +10 For Everyone +10,,,319
Samurai Warriors,2004-05-06,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,8.6,16,320
Sam & Max Episode 104: Abe Lincoln Must Die!,2007-02-22,Telltale Games,Telltale Games,Point-and-Click,,7,20,321
Rock Runners,2013-02-14,,,Action,,,,322
Kaiju Wars,2022-04-28,Foolish Mortals Games,Foolish Mortals Games,Turn-Based Tactics,,7.3,,323
Lost in Blue: Shipwrecked,2008-09-23,Hudson Soft,Konami,Adventure,Rated E +10 For Everyone +10,6.5,,324
Vaccine (2017),2017-02-21,Rainy Night Creations,Rainy Night Creations,Survival,Rated M For Mature,,,325
Metroid Prime 3: Corruption,2007-08-27,Retro Studios,Nintendo,FPS,Rated T For Teen,8.7,460,326
Mortal Kombat 1,2023-09-19,NetherRealm Studios,Warner Bros. Games,2D Fighting,Rated M For Mature,7.1,1053,327
Shoot Many Robots,2012-03-14,Demiurge Studios,Ubisoft,Action,Rated M For Mature,6.8,41,328
Blek,2013-12-03,kunabi brother GmbH,kunabi brother GmbH,Puzzle,,6.6,10,329
Tiny Metal,2017-12-21,AREA35,AREA35,Turn-Based Tactics,Rated E +10 For Everyone +10,4.3,15,330
Battlefield: Bad Company 2 Vietnam,2010-12-21,EA DICE,EA Games,FPS,Rated M For Mature,8.1,113,331
MadWorld,2009-03-10,PlatinumGames,Sega,3D Beat-'Em-Up,Rated M For Mature,8.3,135,332
The Dark Eye : Book of Heroes,2020-06-09,Random Potion Oy,Wild River Games,RPG,,2.2,6,333
Trials of Mana,2020-04-24,Xeen,Square Enix,Action RPG,Rated T For Teen,7.7,151,334
The Legend of Zelda: Twilight Princess,2006-11-19,Nintendo,Nintendo,Open-World Action,Rated T For Teen,8.9,1815,335
The Longing,2020-03-05,Studio Seufz,Studio Seufz,Adventure,,7.9,33,336
Eagle Eye Golf,2006-10-10,Nippon Telenet,Aksys Games,Golf Sim,Rated E +10 For Everyone +10,,,337
ALTDEUS: Beyond Chronos,2020-12-04,MyDearest,MyDearest,Visual Novel,,8.5,10,338
Yuppie Psycho,2019-04-25,Baroque Decay,Another Indie,Action Adventure,,8.3,68,339
EOE: Eve of Extinction,2002-02-26,Yuke's,Eidos Interactive,Action Adventure,Rated T For Teen,7.7,6,340
NHL 15,2014-09-09,EA Sports,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,3.7,319,341
Zwei: The Ilvard Insurrection,2017-10-31,Falcom,XSEED Games,Action RPG,,8.2,12,342
Sniper Elite VR,2021-07-08,Coatsink Software,Rebellion,Light Gun,,7.5,10,343
Champions of Norrath,2004-02-10,Snowblind Studios,Sony Online Entertainment,Action RPG,Rated T For Teen,8.4,56,344
DynamoKid Touch,2010-05-04,OrangePixel,OrangePixel,Action,,,,345
Tech Support: Error Unknown,2019-02-27,Dragon Slumber,Dragon Slumber,Adventure,,5.8,9,346
Junk Jack X,2013-08-29,Pixbits SRL,Pixbits SRL,Sandbox,,6.3,8,347
Patapon,2008-02-26,SCE Japan Studio,SCEA,Rhythm,Rated E For Everyone,8.6,117,348
Far Cry 2,2008-10-21,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,6.6,280,349
Tempest 4000,2018-07-17,Llamasoft,Atari SA,Top-Down Shoot-'Em-Up,Rated E For Everyone,5.3,16,350
Professor Heinz Wolff's Gravity,2009-04-06,Deep Silver,Deep Silver,Action Puzzle,Rated E For Everyone,,,351
Star Wars: Trench Run,2009-11-17,Infrared5,THQ Wireless,Space Combat Sim,,,,352
Racing Gears Advance,2005-02-08,"Orbital Media, Inc.","Orbital Media, Inc.",Auto Racing,Rated E For Everyone,7.5,38,353
Beatdown!,2012-11-15,Ravenous Games,Ravenous Games,Action,,,,354
Among Us VR,2022-11-10,Schell Games,Innersloth,Survival,,7.5,8,355
Sega Superstars Tennis,2008-03-18,Sumo Digital,Sega,Tennis,Rated E +10 For Everyone +10,7.4,23,356
Steins;Gate 0,2016-11-29,5pb,PQube,Visual Novel,Rated M For Mature,8.6,114,357
Cross Racing Championship 2005,2005-10-04,Invictus,Graphsim Entertainment,Auto Racing Sim,Rated E For Everyone,6.7,6,358
Minecraft: Story Mode - Episode 3: The Last Place You Look,2015-11-24,Telltale Games,Telltale Games,Point-and-Click,Rated E +10 For Everyone +10,6.5,48,359
Samurai Shodown V,2006-01-18,SNK Playmore,SNK Playmore,2D Fighting,Rated T For Teen,,,360
Ridge Racer Unbounded,2012-03-27,Bugbear,Namco Bandai Games,Auto Racing,Rated T For Teen,7.6,59,361
OVERPASS,2020-03-17,Zordix Racing,Bigben Interactive,Auto Racing Sim,Rated E For Everyone,2.9,17,362
Boson X,2013-09-26,Ian MacLarty,Ian MacLarty,Arcade,,,,363
Lionheart: Kings' Crusade,2010-10-08,NeocoreGames,Paradox Interactive,Real-Time Strategy,Rated T For Teen,7.1,23,364
Curious George,2006-02-01,Monkey Bar Games,Namco,Action Adventure,Rated E For Everyone,7,5,365
Extermination,2001-07-23,Deep Space,SCEA,Survival,Rated M For Mature,8.2,18,366
Gore: Ultimate Soldier,2002-06-05,4D Rulers,DreamCatcher Interactive,FPS,Rated M For Mature,7,5,367
RHYTHM THIEF & the Paris Caper,2014-01-09,Sega,Sega,Rhythm,,,,368
Yu-Gi-Oh! GX Tag Force,2006-11-14,Konami,Konami,Card Battle,Rated E For Everyone,7,41,369
Pillars of Eternity II: Deadfire,2018-05-08,Obsidian Entertainment,Versus Evil,Western RPG,Rated M For Mature,7.8,762,370
Scene It? Bright Lights! Big Screen!,2009-11-17,Artificial Mind and Movement,Warner Bros. Interactive Entertainment,Trivia,Rated T For Teen,6.3,,371
Universe at War: Earth Assault,2007-12-10,Petroglyph,Sega,Real-Time Strategy,Rated T For Teen,8.5,59,372
moon: Remix RPG Adventure,2020-08-27,Onion Games,Onion Games,RPG,Rated E +10 For Everyone +10,8,20,373
Beholder: Complete Edition,2018-01-19,Warm Lamp Games,Curve Digital,Strategy,Rated T For Teen,7.8,,374
Axiom Verge,2015-03-31,Tom Happ,Tom Happ,Metroidvania,Rated E +10 For Everyone +10,7.8,213,375
Immortal Legacy: The Jade Cipher,2019-04-16,Viva Games,Viva Games,Light Gun,Rated M For Mature,7.2,40,376
Untold Legends: The Warrior's Code,2006-03-28,Sony Online Entertainment,Sony Online Entertainment,Action RPG,Rated T For Teen,7.3,17,377
Rugby 06,2006-02-14,EA Canada,Electronic Arts,Rugby,Rated E For Everyone,,,378
Slayin,2013-04-04,FDG Entertainment,FDG Entertainment,RPG,,8.3,6,379
Stoked: Big Air Edition,2009-11-23,Bongfish,Destineer,Skiing,Rated T For Teen,7,7,380
Lost Kingdoms II,2003-05-21,From Software,Activision,JRPG,Rated T For Teen,8.1,15,381
Stirring Abyss,2020-10-29,Sleepy Sentry,Slitherine,Turn-Based Tactics,,7.6,9,382
Raze's Hell,2005-04-21,Artech Studios,Majesco,Third Person Shooter,Rated M For Mature,5,,383
Mutant Football League: Dynasty Edition,2018-10-30,Nighthawk Interactive,Nighthawk Interactive,Football,Rated M For Mature,7.1,23,384
The VideoKid,2018-08-30,Chorus Worldwide,Chorus Worldwide,Arcade,Rated E +10 For Everyone +10,5.8,,385
Tiny Troopers 2,2013-03-28,Kukouri Mobile Entertainment,Chillingo,Top-Down Shoot-'Em-Up,,5.4,5,386
Spyro 2: Season of Flame,2002-09-24,Digital Eclipse,Universal Interactive,3D Platformer,Rated E For Everyone,6.4,23,387
Rhythm Heaven Fever,2012-02-13,Nintendo,Nintendo,Rhythm,Rated E For Everyone,8.4,99,388
The Ward,2001-01-22,Fragile Bits,On Deck Interactive,Adventure,Rated T For Teen,,,389
Hammer & Sickle,2005-12-05,Novik & Co,cdv Software,Turn-Based Tactics,Rated T For Teen,7.8,13,390
Lust from Beyond,2021-03-11,Movie Games,Movie Games,First-Person Adventure,,6.7,41,391
The Red Strings Club,2018-01-22,Deconstructeam,Devolver Digital,Visual Novel,,7.6,151,392
Shark Dash,2012-04-19,Gameloft,Gameloft,Puzzle,,,,393
INKS.,2016-05-04,State of Play Games,State of Play Games,Pinball,,,,394
Forgotten Memories: Alternate Realities,2015-04-23,Psychose Interactive Inc.,Psychose Interactive Inc.,Survival,,7,33,395
Hills and Rivers Remain,2009-11-24,Square Enix,Square Enix,Real-Time Strategy,,,,396
Shin Megami Tensei: Devil Survivor 2 Record Breaker,2015-05-05,Atlus,Atlus,Turn-Based Tactics,Rated T For Teen,5.4,273,397
SNK Heroines: Tag Team Frenzy,2018-09-07,SNK Corporation,NIS America,2D Fighting,Rated T For Teen,6.6,56,398
Otogi: Myth of Demons,2003-08-27,From Software,Sega,Action Adventure,Rated T For Teen,7.5,13,399
Futurama,2003-08-14,Unique Development Studios,VU Games,3D Platformer,Rated T For Teen,6.5,20,400
Lapis x Labyrinth,2019-05-28,Nippon Ichi Software,NIS America,Action RPG,Rated E +10 For Everyone +10,6.2,13,401
Tribes 2,2001-03-28,Dynamix,Sierra Entertainment,FPS,Rated T For Teen,8,43,402
Naruto Shippuden: Ultimate Ninja Storm Generations,2012-03-13,CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,6.9,65,403
MLB The Show 16,2016-03-29,SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,7.3,190,404
FIFA Soccer 10,2009-10-20,EA Sports,Electronic Arts,Soccer Sim,Rated E For Everyone,7.3,109,405
Apex (2003),2003-02-17,Milestone S.r.l,Atari SA,Auto Racing Sim,Rated E For Everyone,6,6,406
Champions: Return to Arms,2005-02-07,Snowblind Studios,Sony Online Entertainment,Action RPG,Rated T For Teen,7.6,35,407
Sisters Royale: Five Sisters Under Fire,2020-01-30,Alfa System,Chorus Worldwide,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,,,408
Call of Duty: Ghosts - Devastation,2014-04-03,Infinity Ward,Activision,FPS,Rated M For Mature,5.7,26,409
Wii Party U,2013-10-25,Nd Cube,Nintendo,Party,Rated E For Everyone,7.1,169,410
Gods Eater Burst,2011-03-15,Shift,D3Publisher,Action RPG,Rated T For Teen,8,41,411
Monster Truck Championship,2020-10-20,Teyon,Maximum Games,Vehicle Sim,Rated E For Everyone,3.1,7,412
Star Horizon,2020-05-14,Orbital Knight sp. z o.o.,No Gravity Games,Rail Shooter,Rated T For Teen,,,413
Cardboard Castle,2011-01-12,Bulkypix,Bulkypix,Puzzle,,,,414
Super Toy Cars,2014-07-24,Eclipse Games,Eclipse Games,Auto Racing,Rated E For Everyone,7.4,7,415
Again: Interactive Crime Novel,2010-04-02,Cing,Tecmo,Visual Novel,Rated T For Teen,7,6,416
#DRIVE,2021-02-16,Dariusz Pietrala,PM Studios Inc.,Auto Racing,Rated E For Everyone,6.2,6,417
Savage Moon,2009-01-29,FluffyLogic,SCEA,Defense,Rated T For Teen,6.7,26,418
Children of Morta,2019-09-03,Dead Mage,Dead Mage,Action RPG,Rated T For Teen,8.1,301,419
Bombastic,2003-08-27,Shift,Capcom,Puzzle,Rated E For Everyone,,,420
Puzzlejuice,2012-01-19,Colaboratory,Colaboratory,Puzzle,,,,421
DJMax Respect,2018-03-06,Rocky Studio,Neowiz,Rhythm,Rated T For Teen,8.2,53,422
Inazuma Eleven Go: Shadow,2011-12-15,Level 5,Level 5,Soccer,,7.5,34,423
Pastry Panic,2012-05-24,Underground Pixel,Underground Pixel,Strategy,,,,424
Has-Been Heroes,2017-03-28,"Frozenbyte, Inc.",GameTrust,Turn-Based Tactics,Rated E +10 For Everyone +10,7.2,133,425
NBA ShootOut 2002,2001-09-01,Killer Game,SCEA,Basketball Sim,Rated E For Everyone,,,426
Shovel Knight Pocket Dungeon,2021-12-13,Vine,Yacht Club Games,Action Puzzle,,7.3,9,427
Nidhogg,2014-01-13,Messhof,Messhof,Action,,6.9,156,428
WarioWare Gold,2018-08-03,Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,8.2,102,429
Nitroplus Blasterz: Heroines Infinite Duel,2016-02-02,Examu,XSEED Games,2D Fighting,Rated T For Teen,6.9,41,430
Tomb Raider: Underworld,2008-11-18,Crystal Dynamics,Eidos Interactive,Action Adventure,Rated T For Teen,7.5,101,431
Moon Hunters,2016-03-10,Kitfox Games,Kitfox Games,Action RPG,Rated E +10 For Everyone +10,6.5,30,432
KAO the Kangaroo (2001),2001-12-11,Titus Software,Titus Software,2D Platformer,Rated E For Everyone,6.5,,433
Event[0],2016-09-14,Ocelot Society,Ocelot Society,First-Person Adventure,,7,55,434
BioShock,2007-08-21,Irrational Games,2K Games,FPS,Rated M For Mature,9,2598,435
The Stillness of the Wind,2019-02-07,Memory of God / Lambic Studios,Fellow Traveller,Point-and-Click,Rated E +10 For Everyone +10,,,436
Pokemon Ranger: Guardian Signs,2010-10-04,Creatures Inc.,Nintendo,RPG,Rated E For Everyone,8,56,437
Real World Golf,2006-04-11,In2Games,Mad Catz,Golf Sim,Rated E For Everyone,,,438
Time Carnage,2018-04-10,Wales Interactive,Wales Interactive,Light Gun,Rated T For Teen,4.3,12,439
Melty Blood Actress Again Current Code,2016-04-19,French-Bread,Arc System Works,2D Fighting,,8.4,40,440
Jet Grind Radio,2003-06-26,Vicarious Visions,THQ,3D Platformer,Rated E For Everyone,7.2,6,441
Wildermyth,2021-06-15,Worldwalker Games,Worldwalker Games,Turn-Based Tactics,,7.6,89,442
Feel the Magic: XY/XX,2004-11-16,Sonic Team,Sega,Party,Rated T For Teen,6.8,9,443
Buku Sudoku,2008-05-28,Absolutist,Microsoft Game Studios,Logic Puzzle,Rated E For Everyone,,,444
Sega Genesis Collection,2006-11-07,Digital Eclipse,Sega,Compilation,Rated T For Teen,8.2,9,445
The Sims 4: Discover University,2019-11-15,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,4.8,32,446
Yooka-Laylee,2017-04-11,Playtonic Games,Team17,3D Platformer,Rated E +10 For Everyone +10,6.3,276,447
CSI: NY,2008-11-18,Legacy Interactive,Ubisoft,First-Person Adventure,Rated T For Teen,1.9,11,448
Spellspire,2017-05-23,10tons,10tons,RPG,Rated E +10 For Everyone +10,,,449
One Way Trip (2016),2016-08-30,Beret Applications LLC,Beret Applications LLC,Visual Novel,Rated M For Mature,4.3,,450
Blasphemous 2,2023-08-24,The Game Kitchen,Team17,Metroidvania,Rated M For Mature,7.7,143,451
Nobunaga's Ambition: Iron Triangle,2009-01-27,Koei,Koei,Turn-Based Strategy,Rated E +10 For Everyone +10,7.8,6,452
Bionic Commando (2009),2009-05-18,GRIN,Capcom,Metroidvania,Rated M For Mature,6.3,48,453
Harvest Moon DS: Island of Happiness,2008-08-26,TOSE,Natsume,Tycoon,Rated E For Everyone,7.9,8,454
Rogue Trooper: Quartz Zone Massacre,2009-12-04,Rebellion,Graffiti Entertainment,Third Person Shooter,Rated T For Teen,,,455
