title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
1979 Revolution: Black Friday,2016-04-04,iNK Stories,iNK Stories,Adventure,,7.5,85,140
Two Worlds II,2011-01-25,Reality Pump,SouthPeak Games,Action RPG,Rated M For Mature,6.5,150,141
Mega Man X: Command Mission,2004-09-21,"Valuewave Co.,Ltd.",Capcom,JRPG,Rated E For Everyone,7.5,36,142
Square Planet,2012-10-17,Majaka,Majaka,2D Platformer,,,,143
Command & Conquer: Red Alert 2,2000-10-21,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.8,508,144
Valiant Hearts: Coming Home,2023-02-01,Old Skull Games,Netflix,2D Platformer,,6.9,8,145
Earthfall,2018-07-13,Holospark,Holospark,Tactical FPS,Rated T For Teen,5.7,15,146
Speed Zone,2009-08-18,Awesome Play Ltd.,Detn8,Future Racing,Rated E For Everyone,5.3,,147
Floodland,2022-11-15,Vile Monarch,Ravenscourt,Management,,5.3,8,148
FlatOut: Ultimate Carnage,2007-10-02,Bugbear,Warner Bros. Interactive Entertainment,Auto Racing,Rated T For Teen,8.4,39,149
Saints Row: The Third Remastered,2020-05-22,Sperasoft,Deep Silver,Open-World Action,Rated M For Mature,7,111,150
Psychonauts in The Rhombus of Ruin,2017-02-21,Double Fine Productions,Double Fine Productions,Action,Rated E +10 For Everyone +10,7.4,41,151
Master of Illusion,2007-11-26,Eighting,Nintendo,Application,Rated E For Everyone,,,152
Nintendogs: Chihuahua & Friends,2005-08-22,Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,5,29,153
StarCraft 64,2000-06-12,Mass Media,Nintendo,Command RTS,Rated T For Teen,6.8,39,154
Human Resource Machine,2015-10-15,Tomorrow Corporation,Tomorrow Corporation,Puzzle,,8,48,155
Cities XL,2009-10-08,Monte Cristo,Focus Home Interactive,Management,Rated E For Everyone,5,31,156
Rocky and Bullwinkle,2008-04-16,Zen Studios,Microsoft Game Studios,Party,Rated E For Everyone,4.8,5,157
Mighty Morphin Power Rangers: Mega Battle,2017-01-17,Bamtang,Bandai Namco Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,7.6,58,158
EVE Online,2003-05-06,CCP,Simon & Schuster,MMORPG,Rated T For Teen,6.7,307,159
Assault Suits Valken Declassified,2023-03-30,M2,Rainmaker Productions,Horizontal Shoot-'Em-Up,,,,160
MotoGP 3,2003-03-17,Namco,Namco,Auto Racing Sim,Rated E For Everyone,8.3,7,161
Sam & Max Episode 105: Reality 2.0,2007-03-29,Telltale Games,GameTap,Point-and-Click,,7.1,19,162
Call of Duty: Black Ops,2010-11-09,Treyarch,Activision,Tactical FPS,Rated M For Mature,6.8,1910,163
Space Miner: Space Ore Bust,2010-02-05,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",RPG,,5.8,5,164
Pushmo,2011-12-08,Intelligent Systems,Nintendo,Action Puzzle,Rated E For Everyone,8.3,217,165
1001 Spikes,2014-06-03,Nicalis,Nicalis,2D Platformer,Rated T For Teen,6.5,37,166
Vanquish,2010-10-19,PlatinumGames,Sega,Third Person Shooter,Rated M For Mature,9.6,1907,167
Pro Evolution Soccer 2011,2010-10-19,Konami,Konami,Soccer Sim,Rated E For Everyone,6.4,43,168
Excitebots: Trick Racing,2009-04-20,Monster Games Inc.,Nintendo,Auto Racing,Rated E For Everyone,7.4,16,169
Dance Dance Revolution Disney Mix,2001-09-18,Konami,Konami,Dancing,Rated E For Everyone,,,170
Da New Guys: Day of the Jackass,2012-02-29,ICEBOX Studios,Wadjet Eye Games,Point-and-Click,,5.8,8,171
Septerra Core: Legacy of the Creator,1999-10-31,Valkyrie Studios,Monolith Productions,RPG,Rated T For Teen,7.6,74,172
Speedball 2 HD,2013-12-05,Vivid Games,Mastertronic,Future Sport,,3.8,21,173
One Piece: Unlimited Cruise SP,2011-05-26,Bandai Namco Games,Bandai Namco Games,Action,,6.8,18,174
Marvel: Ultimate Alliance,2006-10-24,Raven Software,Activision,Action RPG,Rated T For Teen,7.9,113,175
Toy Home,2007-12-20,Game Republic,SCEA,Auto Racing,Rated E For Everyone,4.8,,176
Laser League,2018-05-10,roll7,505 Games,Future Sport,Rated E +10 For Everyone +10,6.2,34,177
NightCry,2016-03-29,"NUDE MAKER,Y.K.",Active Gaming Media,Action Adventure,Rated M For Mature,8.4,5,178
